Date,Score
2024-01-01,-0.9966868758201599
2024-01-02,0.3337502678235372
2024-01-03,0.5575573921203614
2024-01-04,0.3028218944867452
2024-01-05,0.344511479139328
2024-01-06,0.5424837023019791
2024-01-07,0.30324141184488934
2024-01-08,0.4148100359099252
2024-01-09,0.5861773320606777
2024-01-10,0.37433972529002596
2024-01-11,-0.4337583269391741
2024-01-12,-0.09066141193563287
2024-01-13,0.8038608034451803
2024-01-14,-0.0018002688884735107
2024-01-15,0.6215592189268633
2024-01-16,-0.5612466931343079
2024-01-17,-0.5072666605313619
2024-01-18,0.628188947836558
2024-01-19,0.11534928613238865
2024-01-20,0.9978450536727905
2024-01-21,0.4362464206559317
2024-01-22,0.39598289132118225
2024-01-23,0.18118197470903397
2024-01-24,0.3335087498029073
2024-01-25,-0.9978027939796448
2024-01-26,-0.22964080021931574
2024-01-27,-0.2823528918352994
2024-01-28,-0.004038965702056885
2024-01-29,-0.03786890208721161
2024-01-30,0.11461848351690504
2024-01-31,-0.41902741364070345
2024-02-01,0.6846267282962799
2024-02-02,0.5762239575386048
2024-02-03,0.3211617827415466
2024-02-04,0.2741708258787791
2024-02-05,-0.013149172067642212
2024-02-06,-0.940081795056661
2024-02-07,0.44966190511530096
2024-02-08,0.2664906606078148
2024-02-09,0.5138509621222814
2024-02-10,0.3959766725699107
2024-02-11,0.04093809127807617
2024-02-12,0.08555978536605835
2024-02-13,-0.06898352007071178
2024-02-14,0.02696290612220764
2024-02-15,-0.0017220675945281982
2024-02-16,0.5015815496444702
2024-02-17,0.9993169009685516
2024-02-18,0.6140017339161464
2024-02-19,0.4240420545850481
2024-02-20,0.8650663733482361
2024-02-21,0.34511659542719525
2024-02-22,-0.23017289489507675
2024-02-23,-0.27677881717681885
2024-02-24,0.2195039689540863
2024-02-25,0.1411779863493783
2024-02-26,0.5139439404010773
2024-02-27,0.4761572709450355
2024-02-28,0.6041908681392669
2024-02-29,0.9978793621063232
2024-03-01,0.6111304879188537
