Date,Score
2024-01-01,-0.9967569708824158
2024-01-02,0.3344780206680298
2024-01-03,0.5584349830945333
2024-01-04,0.25535157322883606
2024-01-05,0.32639428973197937
2024-01-06,0.10006561875343323
2024-01-07,-0.9011345207691193
2024-01-08,0.434054502419063
2024-01-09,0.3541493160384042
2024-01-10,0.33142178257306415
2024-01-11,-0.43709297691072735
2024-01-12,-0.17949356138706207
2024-01-13,0.802566240231196
2024-01-14,-0.9984409213066101
2024-01-15,0.7386172950267792
2024-01-16,-0.16486003398895263
2024-01-17,-0.22485982520239695
2024-01-18,0.5826409359773
2024-01-19,0.12849890523486668
2024-01-20,0.9945840239524841
2024-01-21,-0.14525738954544068
2024-01-22,0.4634955194261339
2024-01-23,-0.16261346340179444
2024-01-24,0.28946828842163086
2024-01-25,-0.9982636570930481
2024-01-26,-0.41635384467931896
2024-01-27,-0.19750169515609742
2024-01-28,0.06536617604168979
2024-01-29,-0.1405556287084307
2024-01-30,0.14214210850851877
2024-01-31,-0.26296351637159077
2024-02-01,0.2519004702568054
2024-02-02,0.274631400903066
2024-02-03,0.6493271112442016
2024-02-04,-0.3138311505317688
2024-02-05,-0.1889510452747345
2024-02-06,-0.6744539240996043
2024-02-07,0.412634632804177
2024-02-08,0.4514699950814247
2024-02-09,0.42225549437782983
2024-02-10,0.14924081563949584
2024-02-11,-0.13344785145350865
2024-02-12,-0.07821121480729845
2024-02-13,0.043479472398757935
2024-02-14,0.016519715388615925
2024-02-15,-0.002365097403526306
2024-02-16,0.4301221132278442
2024-02-17,0.998399575551351
2024-02-18,0.31414416432380676
2024-02-19,0.1552271502358573
2024-02-20,0.9290700405836105
2024-02-21,0.487774096429348
2024-02-22,-0.13930061885288783
2024-02-23,-0.5851709008216858
2024-02-24,0.1429881453514099
2024-02-25,0.1330938424382891
2024-02-26,0.5189018547534943
2024-02-27,0.17211198806762695
2024-02-28,0.7989316523075104
2024-02-29,0.5910518050193787
2024-03-01,0.40113123655319216
