Date,Score
2024-01-01,0.8992661237716675
2024-01-02,0.525966071165525
2024-01-03,0.5801524758338928
2024-01-04,0.622793972492218
2024-01-05,0.9906042714913686
2024-01-06,0.9753284901380539
2024-01-07,0.3919951021671295
2024-01-08,0.7399836704134941
2024-01-09,0.9405683477719625
2024-01-10,0.993304067187839
2024-01-11,0.797567829489708
2024-01-12,0.6351560570976951
2024-01-13,0.9964172972573174
2024-01-14,0.9981698095798492
2024-01-15,0.9924774885177612
2024-01-16,0.9749058683713278
2024-01-17,0.3589956263701121
2024-01-18,0.983358736221607
2024-01-19,0.967606029340199
2024-01-20,0.9790882110595703
2024-01-21,0.8764386177062988
2024-01-22,0.9766033738851547
2024-01-23,0.9911630587144331
2024-01-24,0.9694529891014099
2024-01-25,0.9921939143767724
2024-01-26,0.5297285180825454
2024-01-27,0.9767384396659003
2024-01-28,0.9379372000694275
2024-01-29,0.7806543057615106
2024-01-30,0.9983686464173454
2024-01-31,0.8174854474408286
2024-02-01,0.9709702208638191
2024-02-02,0.8328100641568502
2024-02-03,0.8704891912639141
2024-02-04,0.979269802570343
2024-02-05,0.6733524252971014
2024-02-06,0.9426876631650057
2024-02-07,0.9838951596846948
2024-02-08,0.8351129247592046
2024-02-09,0.9330643957311456
2024-02-10,0.9947113633155823
2024-02-11,0.9702760531352117
2024-02-12,0.9980758049271323
2024-02-13,0.8464446152959552
2024-02-14,0.48337365686893463
2024-02-15,0.9511466026306152
2024-02-16,0.6360915194858204
2024-02-17,0.8528488022940499
2024-02-18,0.7884824607107375
2024-02-19,0.9677917957305908
2024-02-21,0.9996569156646729
2024-02-23,0.9994696577390035
2024-02-24,0.980586850643158
2024-02-25,0.9641461209817366
2024-02-26,0.9969597533345222
2024-02-27,0.9981227338314056
2024-02-28,0.7752453088760376
2024-02-29,0.693334025996072
2024-03-01,0.9555754529105293
