Date,Score
2024-01-02,-0.9168464839458466
2024-01-03,-0.3590218623479207
2024-01-04,-0.5553686221440634
2024-01-05,-0.7691228191057841
2024-01-06,-0.6954212869916644
2024-01-07,-0.34210654099782306
2024-01-08,0.058521561324596405
2024-01-09,0.14880950961794173
2024-01-10,0.02173486351966858
2024-01-11,0.09115601127797907
2024-01-12,0.9581381916999817
2024-01-13,0.3387615813149346
2024-01-14,0.5085723400115967
2024-01-15,0.6951543167233467
2024-01-16,0.36038216948509216
2024-01-17,0.13333999514579772
2024-01-18,0.4567539266177586
2024-01-19,0.5354439616203308
2024-01-20,0.946112185716629
2024-01-21,0.9626697897911072
2024-01-22,0.7294836863875389
2024-01-23,0.5443004767100016
2024-01-24,0.9451309101922172
2024-01-25,0.7493435442447662
2024-01-26,0.3980949946812221
2024-01-27,0.13103004693984985
2024-01-28,0.675699497972216
2024-01-29,0.8604785402615865
2024-01-30,0.9987277269363404
2024-01-31,0.32736077573564315
2024-02-01,0.9723483920097351
2024-02-02,0.9870781898498535
2024-02-03,0.9965841472148895
2024-02-04,0.2641618980301751
2024-02-05,-0.34519028663635254
2024-02-06,0.5669182936350504
2024-02-07,0.9968051314353943
2024-02-08,0.6351859271526337
2024-02-09,0.6552764773368835
2024-02-10,0.9296593740582466
2024-02-11,0.7464974895119667
2024-02-12,0.9980928202470144
2024-02-13,0.9938140681811741
2024-02-14,0.9467554986476898
2024-02-15,0.3127203226089478
2024-02-16,0.6362728801640597
2024-02-17,0.9595904648303986
2024-02-18,-0.15008446999958583
2024-02-19,0.5118972778320312
2024-02-20,0.9915808886289597
2024-02-21,0.5143178462982178
2024-02-22,0.47746945172548294
2024-02-23,0.4414636969566345
2024-02-24,0.5886737465858459
2024-02-25,0.9323174595832825
2024-02-26,0.14600710357938493
2024-02-27,-0.4655177667737007
2024-02-28,0.6177198648452759
2024-02-29,0.33961549070146346
2024-03-01,0.3284771243731181
