Date,Score,Count
2024-01-01,0.9982439577579498,4.0
2024-01-02,0.4899747744202614,8.0
2024-01-03,0.8299597501754761,12.0
2024-01-04,0.7630273359162467,7.0
2024-01-05,0.9690659567713737,8.0
2024-01-06,0.9988306537270546,8.0
2024-01-07,0.9893723249435424,5.0
2024-01-08,0.9351768851280212,5.0
2024-01-09,0.9892603680491447,8.0
2024-01-10,0.9053797125816345,8.0
2024-01-11,0.9758656173944473,8.0
2024-01-12,0.7621536519792345,9.0
2024-01-13,0.2008810043334961,5.0
2024-01-14,0.2955450812975566,6.0
2024-01-15,0.5364622738626268,9.0
2024-01-16,0.733181463347541,9.0
2024-01-17,0.7319864162376949,14.0
2024-01-18,0.8026301914995367,11.0
2024-01-19,0.9949570710842426,13.0
2024-01-20,0.8647087415059408,3.0
2024-01-21,0.9996390342712402,1.0
2024-01-22,0.9322175979614258,10.0
2024-01-23,0.9943020522594452,10.0
2024-01-24,0.9828271998299493,9.0
2024-01-25,0.807858278354009,12.0
2024-01-26,0.7446139653523763,9.0
2024-01-27,0.9858278930187225,2.0
2024-01-28,0.9995005369186402,5.0
2024-01-29,0.9160841226577758,5.0
2024-01-30,0.4999580383300781,4.0
2024-01-31,-0.8785784691572189,4.0
2024-02-01,0.9828605164181102,11.0
2024-02-02,0.47251900285482407,8.0
2024-02-03,0.7979734912514687,8.0
2024-02-04,0.96376171708107,8.0
2024-02-05,0.9908836086591085,12.0
2024-02-06,0.9936846835272652,7.0
2024-02-07,0.7538198232650757,8.0
2024-02-08,0.9690371666635785,7.0
2024-02-09,0.8162037084499995,12.0
2024-02-10,0.9562582969665527,8.0
2024-02-11,0.9637036323547363,9.0
2024-02-12,0.9819361980144794,13.0
2024-02-13,0.9713685810565948,12.0
2024-02-14,0.8443048779781048,13.0
2024-02-15,0.9838367998600006,8.0
2024-02-16,0.33681898315747577,6.0
2024-02-17,0.9342659935355186,8.0
2024-02-18,0.9796180384499686,7.0
2024-02-19,0.9775174685886928,7.0
2024-02-20,0.988038033246994,4.0
2024-02-21,0.9513148324830192,7.0
2024-02-22,0.9426059573888779,8.0
2024-02-23,0.9043475747108459,5.0
2024-02-24,0.9033199350039164,9.0
2024-02-25,0.9243091717362404,8.0
2024-02-26,0.9903199246951512,7.0
2024-02-27,0.5606305069393582,9.0
2024-02-28,0.9265148043632507,9.0
2024-02-29,0.7856580344113436,11.0
2024-03-01,0.9981134951114654,10.0
2024-03-02,0.7750158905982971,9.0
2024-03-03,0.9965105785263909,9.0
2024-03-04,0.7099592174802508,7.0
2024-03-05,0.33317134777704877,3.0
2024-03-06,0.557025817307559,11.0
2024-03-07,-0.05988942583401998,6.0
2024-03-08,0.9421904146671295,10.0
2024-03-09,0.7156724110245705,8.0
2024-03-10,0.9607773098078641,11.0
2024-03-11,0.5316494901974996,9.0
2024-03-12,0.74924236536026,9.0
2024-03-13,0.9978159751210894,7.0
2024-03-14,0.7366079525514082,11.0
2024-03-15,0.9708641072114309,12.0
2024-03-16,0.9447948113083839,8.0
2024-03-17,0.7625250003554604,11.0
2024-03-18,0.7112630307674408,8.0
2024-03-19,0.8502307136853536,3.0
2024-03-20,0.7496528476476669,8.0
2024-03-21,0.9982348680496216,1.0
2024-03-22,0.8141383588314056,10.0
2024-03-23,0.3966703911622365,6.0
2024-03-24,0.645606279373169,7.0
2024-03-25,0.4527231231331825,8.0
2024-03-26,0.590854697757297,9.0
2024-03-27,0.9960251152515411,2.0
2024-03-28,0.3079662621021271,4.0
2024-03-29,0.987345176935196,10.0
2024-03-30,0.7191098108887672,8.0
