Date,Score,Count
2024-01-02,0.5729949606789483,9.0
2024-01-03,0.741016574203968,8.0
2024-01-04,0.666423887014389,6.0
2024-01-05,0.7120660373142788,7.0
2024-01-06,0.973162055015564,2.0
2024-01-07,0.9978408813476562,1.0
2024-01-08,0.9189109972545079,7.0
2024-01-09,0.7495004683732986,8.0
2024-01-10,0.9848264455795288,4.0
2024-01-11,0.6457531920501164,14.0
2024-01-12,0.6043546438217163,5.0
2024-01-13,0.9910902231931686,4.0
2024-01-14,0.4483602132116045,7.0
2024-01-15,0.34390389919281006,3.0
2024-01-16,0.9919588310377938,7.0
2024-01-17,0.45034853368997574,8.0
2024-01-18,-0.3192054986953735,10.0
2024-01-19,0.43624786734580995,10.0
2024-01-20,0.001487433910369873,2.0
2024-01-21,-0.006393715739250183,4.0
2024-01-22,0.9594866260886192,8.0
2024-01-23,0.5847923696041107,10.0
2024-01-24,0.41789054274559023,10.0
2024-01-25,0.828744093577067,12.0
2024-01-26,0.7930147184265984,9.0
2024-01-27,0.9984021782875061,1.0
2024-01-29,0.5991668999195099,10.0
2024-01-30,0.16730730022702897,7.0
2024-01-31,0.40314613921301706,14.0
2024-02-01,0.8650662938753764,15.0
2024-02-02,0.8126420378684998,11.0
2024-02-03,0.9991160154342651,5.0
2024-02-04,0.9898646805021498,9.0
2024-02-05,0.5531793965233697,9.0
2024-02-06,0.8580461923892682,13.0
2024-02-07,0.6712051630020142,6.0
2024-02-08,0.5547325279977586,9.0
2024-02-09,0.5886208534240722,10.0
2024-02-10,0.9954152504603068,6.0
2024-02-11,0.9982399543126425,3.0
2024-02-12,0.6673884716900912,11.0
2024-02-13,0.7494000494480133,8.0
2024-02-14,0.9992574784490798,9.0
2024-02-15,0.4413845453943525,14.0
2024-02-16,0.37080476184686023,12.0
2024-02-17,0.9985868334770203,3.0
2024-02-18,0.969301950931549,5.0
2024-02-19,0.9982216060161591,6.0
2024-02-20,0.3912275433540344,11.0
2024-02-21,0.9673446842602321,7.0
2024-02-22,0.5209954977035522,12.0
2024-02-23,0.33124281962712604,12.0
2024-02-24,0.9995652238527933,3.0
2024-02-25,0.9983859956264496,2.0
2024-02-26,0.0002377033233642578,10.0
2024-02-27,-0.20326863527297973,10.0
2024-02-28,0.043009895086288455,10.0
2024-02-29,0.34012850125630695,9.0
2024-03-01,0.7336524054408073,8.0
2024-03-02,0.021451234817504883,12.0
2024-03-03,0.30243886600841174,11.0
2024-03-04,0.16548006236553192,12.0
2024-03-05,0.42443990165537054,11.0
2024-03-06,0.4708640304478732,11.0
2024-03-07,0.7646017149090767,8.0
2024-03-08,0.4982403963804245,4.0
2024-03-09,0.9235002398490906,6.0
2024-03-10,-0.8662346601486206,1.0
2024-03-11,0.3663540134827296,12.0
2024-03-12,0.9985017677148184,6.0
2024-03-13,0.7764588528209262,9.0
2024-03-14,0.5555740396181742,9.0
2024-03-15,0.5298454629050361,9.0
2024-03-16,0.9851720333099365,1.0
2024-03-17,0.9983994364738464,2.0
2024-03-18,0.955810546875,12.0
2024-03-19,0.8554542281410911,11.0
2024-03-20,0.9601871371269226,6.0
2024-03-21,0.7991255283355713,10.0
2024-03-22,0.6737947762012482,8.0
2024-03-23,0.9707438151041666,3.0
2024-03-24,0.9867416024208069,9.0
2024-03-25,0.4390971227125688,11.0
2024-03-26,0.692507266998291,7.0
2024-03-27,0.9121285557746888,10.0
2024-03-28,0.5816172659397125,10.0
2024-03-29,0.8971854895353317,4.0
2024-03-30,0.612937045097351,5.0
