Date,Score,Count
2024-01-01,0.057153284549713135,2.0
2024-01-02,-0.4679320305585861,8.0
2024-01-03,-0.45382270216941833,8.0
2024-01-04,-0.5071884989738464,8.0
2024-01-05,-0.39951329827308657,10.0
2024-01-06,-0.24963243305683136,8.0
2024-01-07,0.49022527039051056,4.0
2024-01-08,0.27618876370516693,11.0
2024-01-09,0.383406263589859,10.0
2024-01-10,0.1026960015296936,9.0
2024-01-11,-0.1091893141468366,12.0
2024-01-12,0.38393690494390637,13.0
2024-01-13,0.4092117130756378,10.0
2024-01-14,0.19362964630126953,5.0
2024-01-15,0.9993609852261014,9.0
2024-01-16,0.7969790448745092,12.0
2024-01-17,0.6844298044840494,6.0
2024-01-18,0.8598713159561158,5.0
2024-01-19,0.8999131123224894,6.0
2024-01-20,0.8826372027397156,3.0
2024-01-21,0.5997375845909119,5.0
2024-01-22,0.5705407738685608,10.0
2024-01-23,-0.23591946065425873,8.0
2024-01-24,0.7545050928990046,6.0
2024-01-25,0.7442909702658653,8.0
2024-01-26,0.4502497230257307,7.0
2024-01-27,0.0013142675161361694,4.0
2024-01-28,0.9683916568756104,2.0
2024-01-29,0.7496156319975853,8.0
2024-01-30,0.9978550573190054,12.0
2024-01-31,0.5133074820041656,8.0
2024-02-01,0.9949631690979004,2.0
2024-02-02,0.9400197693279811,7.0
2024-02-03,0.5340374377038744,9.0
2024-02-04,0.6151006698608399,5.0
2024-02-05,-0.19899951219558715,5.0
2024-02-06,0.01542719453573227,8.0
2024-02-07,0.6296700022437356,11.0
2024-02-08,0.9426995813846588,6.0
2024-02-09,0.3949226140975952,3.0
2024-02-10,0.4312352809039029,11.0
2024-02-11,0.6025080193172802,11.0
2024-02-12,0.38015741961342947,7.0
2024-02-13,0.5990400671958923,5.0
2024-02-14,0.9539237022399902,9.0
2024-02-15,-0.03681039810180664,10.0
2024-02-16,0.5361746218469408,9.0
2024-02-17,0.7123877273665534,9.0
2024-02-18,-0.05074474215507507,4.0
2024-02-19,0.016057640314102173,8.0
2024-02-20,0.05806216597557068,6.0
2024-02-21,0.8764928579330444,5.0
2024-02-22,0.34220431447029115,10.0
2024-02-23,0.593130350112915,5.0
2024-02-24,0.7123735547065735,7.0
2024-02-25,0.7246573766072592,9.0
2024-02-26,0.21263720989227294,5.0
2024-02-27,-0.3238803446292877,6.0
2024-02-28,0.6349614432879856,7.0
2024-02-29,0.42849552631378174,7.0
2024-03-01,0.006392627954483032,6.0
2024-03-02,0.3448128302892049,6.0
2024-03-03,-0.2969682945145501,9.0
2024-03-04,0.40538378059864044,4.0
2024-03-05,-0.03863893449306488,4.0
2024-03-06,-0.5292566120624542,7.0
2024-03-07,-0.190266752243042,5.0
2024-03-08,0.3377533753712972,9.0
2024-03-09,0.773662977748447,9.0
2024-03-10,0.04178434610366821,4.0
2024-03-11,0.9943131506443024,2.0
2024-03-12,0.9505207964352199,7.0
2024-03-13,0.49981600046157837,4.0
2024-03-14,0.5289204376084464,7.0
2024-03-15,-0.4176591694355011,10.0
2024-03-16,0.1184552788734436,5.0
2024-03-17,0.0596302847067515,6.0
2024-03-18,0.9682741403579712,5.0
2024-03-19,0.6229454874992371,13.0
2024-03-20,-0.4844139516353607,4.0
2024-03-21,-0.38936639494366115,9.0
2024-03-22,0.3986916371754238,7.0
2024-03-23,0.6566867033640543,6.0
2024-03-24,0.8871597349643707,6.0
2024-03-25,0.4280903424535479,7.0
2024-03-26,0.07277885505131312,7.0
2024-03-27,0.4141878843307495,10.0
2024-03-28,0.2227062463760376,5.0
2024-03-29,0.723061740398407,9.0
2024-03-30,0.4750726893544197,8.0
