Date,Score,Count
2024-01-01,0.9827742278575897,4.0
2024-01-02,0.8422406499202435,13.0
2024-01-03,0.5971851944923401,10.0
2024-01-04,0.79551562666893,10.0
2024-01-05,0.8421407341957092,13.0
2024-01-06,0.5970649600028992,5.0
2024-01-07,0.33588218688964844,3.0
2024-01-08,0.544366717338562,4.0
2024-01-09,0.8003094911575317,10.0
2024-01-10,0.5390818251503838,9.0
2024-01-11,0.964152088532081,13.0
2024-01-12,0.5356443458133273,9.0
2024-01-13,0.9972510397434234,10.0
2024-01-14,0.9780064821243286,7.0
2024-01-15,0.9994544386863708,6.0
2024-01-16,0.6355712630532004,11.0
2024-01-17,0.3995220422744751,10.0
2024-01-18,0.9547648267312483,11.0
2024-01-19,0.9993937744034661,9.0
2024-01-20,0.999197800954183,3.0
2024-01-21,0.9457346498966217,2.0
2024-01-22,0.998960018157959,12.0
2024-01-23,0.9757532119750977,10.0
2024-01-24,0.9943521239540793,11.0
2024-01-25,0.9986161043246587,12.0
2024-01-26,0.5602111924778331,11.0
2024-01-27,0.9990399281183878,3.0
2024-01-28,0.9919124960899353,5.0
2024-01-29,0.9796006977558136,10.0
2024-01-30,0.7979168436106514,17.0
2024-01-31,0.8235650616032737,14.0
2024-02-01,0.9613411501049995,8.0
2024-02-02,0.8115377972523371,12.0
2024-02-03,0.8435394030350906,13.0
2024-02-04,0.9978846056120736,7.0
2024-02-05,0.5375336110591888,14.0
2024-02-06,0.7985466897487641,10.0
2024-02-07,0.8568577681268964,14.0
2024-02-08,0.799642476770613,9.0
2024-02-09,0.7078150255339486,7.0
2024-02-10,0.9987051447232564,15.0
2024-02-11,0.9967104941606522,12.0
2024-02-12,0.7139854856899807,7.0
2024-02-13,0.6011799335479736,10.0
2024-02-14,0.4999672472476959,4.0
2024-02-15,0.9990171119570732,8.0
2024-02-16,0.9907585456967354,8.0
2024-02-17,0.9989685199477456,11.0
2024-02-18,0.7556538316938612,9.0
2024-02-19,0.9864984665598188,7.0
2024-02-22,0.9997003078460693,1.0
2024-02-23,0.9986439595619837,12.0
2024-02-24,0.9874665588140488,8.0
2024-02-25,0.9759411116441091,12.0
2024-02-26,0.6667272051175436,6.0
2024-02-27,0.9356801211833954,6.0
2024-02-28,0.9916401743888855,10.0
2024-02-29,0.666256437699,12.0
2024-03-01,0.7752351820468902,10.0
2024-03-02,0.9874477870762348,16.0
2024-03-03,0.9990174360573292,16.0
2024-03-04,0.7544853091239929,9.0
2024-03-05,0.9662457406520844,6.0
2024-03-06,0.7922036051750183,11.0
2024-03-07,0.8037197142839432,12.0
2024-03-08,0.5994551360607148,10.0
2024-03-09,0.45470051765441893,15.0
2024-03-10,0.8308009046774644,13.0
2024-03-11,0.9930916547775268,5.0
2024-03-12,0.708293654024601,8.0
2024-03-13,0.704967371055058,14.0
2024-03-14,0.5013572722673416,4.0
2024-03-15,0.64647243420283,6.0
2024-03-16,0.749513290822506,8.0
2024-03-17,0.9991399475506374,7.0
2024-03-18,0.9531371518969536,8.0
2024-03-19,0.9924879148602486,8.0
2024-03-20,0.9956120252609253,3.0
2024-03-21,0.9955695813352411,11.0
2024-03-22,0.6968967318534851,7.0
2024-03-23,0.9609977528452873,8.0
2024-03-24,0.9947934812969632,9.0
2024-03-25,0.9895261287689209,5.0
2024-03-26,0.7870658527721058,11.0
2024-03-27,0.5283437192440033,10.0
2024-03-28,0.9891818284988403,10.0
2024-03-29,0.9944080927155234,11.0
2024-03-30,0.9810060527589586,9.0
